poe,date,time,lane_id,vehicle_num,time_waited,processing_time,colour,class_id
Ambassador Bridge,2025-04-08,44:13,4,456,586,169,NA,car
Ambassador Bridge,2025-04-08,44:15,2,512,206,46,NA,car
Ambassador Bridge,2025-04-08,44:26,3,535,58,48,NA,car
Ambassador Bridge,2025-04-08,44:40,1,481,419,95,NA,car
Ambassador Bridge,2025-04-08,45:03,2,516,213,42,NA,car
Ambassador Bridge,2025-04-08,45:27,4,474,559,69,NA,car
Ambassador Bridge,2025-04-08,45:44,2,525,211,36,NA,car
Ambassador Bridge,2025-04-08,46:20,3,494,453,108,NA,car
Ambassador Bridge,2025-04-08,46:55,4,475,643,82,NA,car
Ambassador Bridge,2025-04-08,47:07,2,534,228,77,NA,car
Ambassador Bridge,2025-04-08,47:27,4,554,124,26,NA,car
Ambassador Bridge,2025-04-08,47:28,3,524,316,63,NA,car
Ambassador Bridge,2025-04-08,47:49,2,544,211,37,NA,car
Ambassador Bridge,2025-04-08,48:25,3,537,296,51,NA,car
Ambassador Bridge,2025-04-08,48:36,2,553,213,41,NA,car
Ambassador Bridge,2025-04-08,48:42,4,566,149,69,NA,car
Ambassador Bridge,2025-04-08,49:14,2,560,207,32,NA,car
Ambassador Bridge,2025-04-08,49:39,3,548,310,69,NA,car
Ambassador Bridge,2025-04-08,49:47,2,570,160,27,NA,car
Ambassador Bridge,2025-04-08,50:20,4,569,196,93,NA,car
Ambassador Bridge,2025-04-08,50:44,2,573,172,52,NA,car
Ambassador Bridge,2025-04-08,51:05,3,567,285,80,NA,car
Ambassador Bridge,2025-04-08,52:00,3,571,269,50,NA,car
Ambassador Bridge,2025-04-08,52:30,2,577,233,100,NA,car
Ambassador Bridge,2025-04-08,52:47,3,603,100,41,NA,car
Ambassador Bridge,2025-04-08,53:24,3,592,220,32,NA,car
Ambassador Bridge,2025-04-08,53:25,2,584,248,50,NA,car
Ambassador Bridge,2025-04-08,54:06,2,594,257,35,NA,car
Ambassador Bridge,2025-04-08,54:17,1,499,898,562,NA,car
Ambassador Bridge,2025-04-08,54:34,3,606,158,65,NA,car
Ambassador Bridge,2025-04-08,54:41,2,595,288,30,NA,car
Ambassador Bridge,2025-04-08,55:05,2,600,257,18,NA,car
Ambassador Bridge,2025-04-08,55:53,2,614,143,42,NA,car
Ambassador Bridge,2025-04-08,56:17,3,608,250,97,NA,car
Ambassador Bridge,2025-04-08,56:21,2,616,130,23,NA,car
Ambassador Bridge,2025-04-08,58:03,2,618,221,96,NA,car
Ambassador Bridge,2025-04-08,59:04,4,572,691,518,NA,car
Ambassador Bridge,2025-04-08,59:20,3,609,433,178,NA,car
